scan,amplitude_error,detuning_omega0
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.008,0.012
11,0.011789473684210528,0.017684210526315792
12,0.015578947368421053,0.023368421052631577
13,0.01936842105263158,0.029052631578947368
14,0.023157894736842106,0.034736842105263156
15,0.026947368421052637,0.040421052631578955
16,0.030736842105263156,0.04610526315789473
17,0.03452631578947368,0.051789473684210524
18,0.03831578947368421,0.057473684210526316
19,0.042105263157894736,0.0631578947368421
20,0.045894736842105266,0.0688421052631579
21,0.049684210526315796,0.07452631578947369
22,0.05347368421052631,0.08021052631578947
23,0.05726315789473684,0.08589473684210526
24,0.06105263157894737,0.09157894736842105
25,0.0648421052631579,0.09726315789473683
26,0.06863157894736842,0.10294736842105263
27,0.07242105263157896,0.10863157894736843
28,0.07621052631578948,0.1143157894736842
29,0.08,0.12
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
