scan,setting,offset_omega0,duration_omega0,shots,excited
0,0,-0.7,1.1,1024,266
0,1,-0.7,2.2,1024,635
0,2,-0.7,3.3,1024,547
0,3,-0.7,4.4,1024,153
0,4,0.0,1.1,1024,311
0,5,0.0,2.2,1024,810
0,6,0.0,3.3,1024,1005
0,7,0.0,4.4,1024,685
0,8,0.7,1.1,1024,275
0,9,0.7,2.2,1024,630
0,10,0.7,3.3,1024,541
0,11,0.7,4.4,1024,154
1,0,-0.7,1.1,1024,285
1,1,-0.7,2.2,1024,658
1,2,-0.7,3.3,1024,537
1,3,-0.7,4.4,1024,140
1,4,0.0,1.1,1024,285
1,5,0.0,2.2,1024,812
1,6,0.0,3.3,1024,1004
1,7,0.0,4.4,1024,626
1,8,0.7,1.1,1024,287
1,9,0.7,2.2,1024,637
1,10,0.7,3.3,1024,564
1,11,0.7,4.4,1024,148
2,0,-0.7,1.1,1024,279
2,1,-0.7,2.2,1024,641
2,2,-0.7,3.3,1024,552
2,3,-0.7,4.4,1024,144
2,4,0.0,1.1,1024,307
2,5,0.0,2.2,1024,823
2,6,0.0,3.3,1024,997
2,7,0.0,4.4,1024,673
2,8,0.7,1.1,1024,285
2,9,0.7,2.2,1024,624
2,10,0.7,3.3,1024,564
2,11,0.7,4.4,1024,142
3,0,-0.7,1.1,1024,281
3,1,-0.7,2.2,1024,649
3,2,-0.7,3.3,1024,564
3,3,-0.7,4.4,1024,148
3,4,0.0,1.1,1024,292
3,5,0.0,2.2,1024,799
3,6,0.0,3.3,1024,987
3,7,0.0,4.4,1024,673
3,8,0.7,1.1,1024,274
3,9,0.7,2.2,1024,644
3,10,0.7,3.3,1024,543
3,11,0.7,4.4,1024,154
4,0,-0.7,1.1,1024,287
4,1,-0.7,2.2,1024,632
4,2,-0.7,3.3,1024,556
4,3,-0.7,4.4,1024,145
4,4,0.0,1.1,1024,305
4,5,0.0,2.2,1024,804
4,6,0.0,3.3,1024,993
4,7,0.0,4.4,1024,664
4,8,0.7,1.1,1024,277
4,9,0.7,2.2,1024,659
4,10,0.7,3.3,1024,556
4,11,0.7,4.4,1024,155
5,0,-0.7,1.1,1024,275
5,1,-0.7,2.2,1024,652
5,2,-0.7,3.3,1024,572
5,3,-0.7,4.4,1024,161
5,4,0.0,1.1,1024,281
5,5,0.0,2.2,1024,829
5,6,0.0,3.3,1024,994
5,7,0.0,4.4,1024,667
5,8,0.7,1.1,1024,315
5,9,0.7,2.2,1024,663
5,10,0.7,3.3,1024,589
5,11,0.7,4.4,1024,153
6,0,-0.7,1.1,1024,270
6,1,-0.7,2.2,1024,652
6,2,-0.7,3.3,1024,567
6,3,-0.7,4.4,1024,159
6,4,0.0,1.1,1024,296
6,5,0.0,2.2,1024,797
6,6,0.0,3.3,1024,999
6,7,0.0,4.4,1024,686
6,8,0.7,1.1,1024,276
6,9,0.7,2.2,1024,671
6,10,0.7,3.3,1024,578
6,11,0.7,4.4,1024,136
7,0,-0.7,1.1,1024,286
7,1,-0.7,2.2,1024,653
7,2,-0.7,3.3,1024,577
7,3,-0.7,4.4,1024,182
7,4,0.0,1.1,1024,294
7,5,0.0,2.2,1024,812
7,6,0.0,3.3,1024,998
7,7,0.0,4.4,1024,665
7,8,0.7,1.1,1024,280
7,9,0.7,2.2,1024,650
7,10,0.7,3.3,1024,571
7,11,0.7,4.4,1024,134
8,0,-0.7,1.1,1024,261
8,1,-0.7,2.2,1024,668
8,2,-0.7,3.3,1024,560
8,3,-0.7,4.4,1024,148
8,4,0.0,1.1,1024,294
8,5,0.0,2.2,1024,801
8,6,0.0,3.3,1024,995
8,7,0.0,4.4,1024,670
8,8,0.7,1.1,1024,265
8,9,0.7,2.2,1024,640
8,10,0.7,3.3,1024,567
8,11,0.7,4.4,1024,140
9,0,-0.7,1.1,1024,266
9,1,-0.7,2.2,1024,652
9,2,-0.7,3.3,1024,567
9,3,-0.7,4.4,1024,158
9,4,0.0,1.1,1024,319
